,cmd_str,cmd_id
0,CMDID_KTV_TEST,0x1103
1,CMDID_TOUCHPAD_TEST,0x111d
2,CMDID_PLAY_SPEAKER_AUDIO,0x1117
3,CMDID_PLAY_SPDIF_AUDIO,0x1120
4,CMDID_NFC_READ,0x1139
5,CMDID_NFC_TAG,0x1140
6,CMDID_KTV_ENABLE,0x1200
7,CMDID_SET_3D_MODE,0x1205
8,CMDID_GET_3D_MODE,0x1206
9,CMDID_BT_3D_SYNC_FLAG,0x120c
10,CMDID_UDISK_2_CONTENT_TEST,0x1101
11,CMDID_UDISK_3_CONTENT_TEST,0x110d
12,CMDID_UDISK_DECT_3_0,0x1102
13,CMDID_UDISK_DECT_2_0,0x110b
14,CMDID_UDISK_UNMOUNT_3_0,0x110c
15,CMDID_UDISK_CHECK_SPEED,0x1485
16,CMDID_SOUR_START,0x1104
17,CMDID_SOUR_SWITCH,0x1105
18,CMDID_SOUR_STOP,0x1106
19,CMDID_HDMI_ARC_ON,0x111f
20,CMDID_HDMI_ARC_OFF,0x1107
21,CMDID_HDMI_1_CEC,0x1109
22,CMDID_HDMI_1_CEC_NAME,0x110e
23,CMDID_HDMI_2_CEC,0x1111
24,CMDID_HDMI_2_CEC_NAME,0x110f
25,CMDID_MEDIA_PLAY,0x1113
26,CMDID_MEDIA_STOP,0x111a
27,CMDID_MHL_CEC_3,0x1114
28,CMDID_MHL_CEC_3_NAME,0x111e
29,CMDID_ENABLE_SPEAKER,0x1115
30,CMDID_DISABLE_SPEAKER,0x1116
31,CMDID_ENABLE_SPDIF,0x1118
32,CMDID_DISABLE_SPDIF,0x1119
33,CMDID_GET_SOUND_VOLUME,0x111b
34,CMDID_SET_SOUND_VOLUME,0x111c
35,CMDID_WIFI_QUICKCONNECT,0x142a
36,CMDID_WIFI_IPADDR_GET,0x142c
37,CMDID_WIFI_RSSI_GET,0x142b
38,CMDID_SET_WIFI_STATE,0x112d
39,CMDID_SET_BT_STATE,0x112e
40,CMDID_SET_BT_STATE_BLE,0x112f
41,CMDID_WIFI_PING,0x1121
42,CMDID_BT_SCAN,0x1422
43,CMDID_ETH_PING,0x1123
44,CMDID_IR_START,0x1124
45,CMDID_IR_STOP,0x1125
46,CMDID_WIFI_DISCONNECT,0x1126
47,CMDID_SET_ETH_STATE,0x1127
48,CMDID_GET_ETH_STATE,0x1128
49,CMDID_CHECK_WIFI_SCAN_RESULT,0x1135
50,CMDID_BT_FIND_DEVICE,0x1136
51,CMDID_WIFI_SCAN_START,0x1138
52,CMDID_WIFI_SSID_GET,0x142e
53,CMDID_SET_PRODUCT_FEATURE,0x1129
54,CMDID_CHECK_PRODUCT_FEATURE,0x1130
55,CMDID_SERIAL_WRITE,0x1400
56,CMDID_SERIAL_READ,0x1401
57,CMDID_BT_MAC_WRITE,0x1402
58,CMDID_BT_MAC_READ,0x1403
59,CMDID_REALTEK_BT_MAC_WRITE,0x1464
60,CMDID_REALTEK_BT_MAC_READ,0x1468
61,CMDID_REALTEK_EFUSE_ABLERAW_GET,0x146a
62,CMDID_RF_MODENAME_GET,0x146c
63,CMDID_APPRID_GET,0x149b
64,CMDID_APPRID_SET,0x149c
65,CMDID_ETH_MAC_WRITE,0x1404
66,CMDID_ETH_MAC_READ,0x1405
67,CMDID_WIFI_MAC_WRITE,0x1406
68,CMDID_WIFI_MAC_READ,0x1407
69,CMDID_HDCP_KEY_WRITE,0x1408
70,CMDID_HDCP_KEY_READ,0x1409
71,CMDID_MIRACAST_KEY_WRITE,0x1410
72,CMDID_MIRACAST_KEY_TRANSFER,0x1137
73,CMDID_MIRACAST_KEY_READ,0x1411
74,CMDID_HDCP14_TX_KEY_WRITE,0x140a
75,CMDID_HDCP14_TX_KEY_TRANSFER,0x140f
76,CMDID_HDCP14_TX_KEY_READ,0x140b
77,CMDID_HDCP22_TX_KEY_WRITE,0x140c
78,CMDID_HDCP22_TX_KEY_TRANSFER,0x140d
79,CMDID_HDCP22_TX_KEY_READ,0x140e
80,CMDID_MANUFACTURE_ID_WRITE,0x1414
81,CMDID_MANUFACTURE_ID_READ,0x1415
82,CMDID_N_PCBA_SERIAL_WRITE,0x1470
83,CMDID_N_PCBA_SERIAL_READ,0x1471
84,CMDID_N_PCBA_MANU_WRITE,0x1472
85,CMDID_N_PCBA_MANU_READ,0x1473
86,CMDID_N_ASSM_SERIAL_WRITE,0x1474
87,CMDID_N_ASSM_SERIAL_READ,0x1475
88,CMDID_N_ASSM_MANU_WRITE,0x1476
89,CMDID_N_ASSM_MANU_READ,0x1477
90,CMDID_N_BT_MAC_WRITE,0x1478
91,CMDID_N_BT_MAC_READ,0x1479
92,CMDID_N_SYS_WIFI_MAC_READ,0x1489
93,CMDID_N_ETH_MAC_WRITE,0x147A
94,CMDID_N_ETH_MAC_READ,0x147B
95,CMDID_N_SYS_BT_MAC_READ,0x1440
96,CMDID_N_DOLBY_DTS_CHECK,0x1482
97,CMDID_N_GET_PANEL_ID_TAG,0x1483
98,CMDID_N_CP_TYPE_READ,0x148A
99,CMDID_N_CP_TYPE_WRITE,0x148B
100,CMDID_N_MODEL_NAME_READ,0x1499
101,CMDID_N_MODEL_NAME_WRITE,0x149A
102,CMDID_N_ROOT_COMMAND,0x148C
103,CMDID_N_WIDEVINE_KEY_READ,0x148D
104,CMDID_N_WIDEVINE_KEY_WRITE,0x148E
105,CMDID_N_PRPUB_KEY_READ,0x1494
106,CMDID_N_PRPUB_KEY_WRITE,0x1495
107,CMDID_N_PRPRIV_KEY_READ,0x1496
108,CMDID_N_PRPRIV_KEY_WRITE,0x1497
109,CMDID_N_ATTESTATION_KEY_READ,0x149D
110,CMDID_N_ATTESTATION_KEY_WRITE,0x149E
111,CMDID_N_SECURTY_KEY_WRITE,0x148F
112,CMDID_N_EMMC_EXAMINE,0x1460
113,CMDID_N_EMMC_LEFTTIME,0x14a4
114,CMDID_N_EMMC_WRITESPEEDTEST,0x14a7
115,CMDID_N_USBNUM_TEST,0x1466
116,CMDID_N_WIDEVINEKEYSIZE_READ,0x146D
117,CMDID_N_PREPUBKEYSIZE_READ,0x146E
118,CMDID_N_PREPRIKEYSIZE_READ,0x146F
119,CMDID_N_ATTESTATIONKEYSIZE_READ,0x149F
120,CMDID_N_CHECK_SAMSUNG_EMMC,0x1498
121,CMDID_N_GET_ABNORMALBOOT_TIMES,0x1451
122,CMDID_N_CLEAR_ABNORMALBOOT_TIMES,0x1452
123,CMDID_N_NETFLIX_KEY_WRITE,0x1274
124,CMDID_N_NETFLIX_KEY_READ,0x1275
125,CMDID_N_DID_KEY_WRITE_JOBS,0x1276
126,CMDID_N_DID_KEY_READ_JOBS,0x1277
127,CMDID_N_MIC_TEST,0x1453
128,CMDID_N_GET_MIC_RESULT,0x1454
129,CMDID_N_TVVIEW_SOUR_START,0x147C
130,CMDID_N_TVVIEW_SOUR_STOP,0x147D
131,CMDID_N_TVVIEW_SOUR_SWITCH,0x147E
132,CMDID_N_AMLOGIC_AGING_ON,0x1480
133,CMDID_N_AMLOGIC_AGING_OFF,0x1481
134,CMDID_N_SET_SCREEN_RESOLUTION,0x1486
135,CMDID_N_TEST_PATTERN_START,0x1490
